square_feet,bedrooms,age_years,price
1500,3,10,300000
1200,2,15,225000
1800,4,5,360000
900,1,20,150000
2100,4,8,420000
1600,3,12,310000
1100,2,18,198000
2400,5,3,480000
1300,3,14,247000
1700,3,9,340000
950,1,22,142500
2000,4,7,400000
1400,2,16,238000
2200,5,6,440000
1150,2,19,195000
1850,4,4,370000
1050,2,21,168000
2500,5,2,500000
1350,3,13,263500
1900,4,6,380000
800,1,25,120000
1750,3,11,332500
1450,3,10,290000
2300,4,4,460000
1250,2,17,218750
1950,4,5,390000
1550,3,12,279000
850,1,24,127500
2050,4,7,410000
1650,3,9,330000
1000,1,23,150000
2150,4,6,430000
1280,2,16,224000
1780,3,8,356000
980,1,21,147000
2350,5,3,470000
1480,3,11,296000
1880,4,5,376000
880,1,19,132000
2250,4,4,450000
1380,3,14,255000
1680,3,10,336000
920,1,20,138000
2450,5,2,490000
1580,3,12,303000
1980,4,6,396000
1080,2,18,189000
2120,4,7,424000
1420,2,15,248500
1820,4,5,364000
